,Team,MatchUp,Date,W/L,Min,Points,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PN
560,PHI,PHI @ DAL,02/04/2022,L,240,98,36,70,51.4,9,27,33.3,17,23,73.9,6,30,36,23,5,5,14,22,-9
561,DAL,DAL vs. PHI,02/04/2022,W,240,107,39,85,45.9,10,34,29.4,19,23,82.6,11,29,40,22,8,0,11,18,9
562,DEN,DEN vs. NOP,02/04/2022,L,240,105,35,78,44.9,19,41,46.3,16,17,94.1,7,24,31,22,9,4,15,20,-8
563,NOP,NOP @ DEN,02/04/2022,W,240,113,42,75,56.0,8,25,32.0,21,23,91.3,5,33,38,27,8,5,15,18,8
564,BKN,BKN @ UTA,02/04/2022,L,240,102,41,99,41.4,12,34,35.3,8,11,72.7,16,26,42,25,10,2,10,12,-23
565,UTA,UTA vs. BKN,02/04/2022,W,240,125,48,85,56.5,17,38,44.7,12,14,85.7,9,41,50,33,7,5,18,16,23
566,SAS,SAS vs. HOU,02/04/2022,W,240,131,51,89,57.3,13,28,46.4,16,20,80.0,11,33,44,33,14,5,13,25,25
567,HOU,HOU @ SAS,02/04/2022,L,240,106,36,83,43.4,11,33,33.3,23,29,79.3,9,26,35,15,9,6,19,20,-25
568,TOR,TOR vs. ATL,02/04/2022,W,240,125,46,81,56.8,17,27,63.0,16,18,88.9,8,37,45,29,7,4,17,18,11
569,ATL,ATL @ TOR,02/04/2022,L,240,114,43,93,46.2,9,29,31.0,19,21,90.5,13,27,40,27,12,4,9,16,-11
570,IND,IND vs. CHI,02/04/2022,L,240,115,47,95,49.5,12,27,44.4,9,9,100,10,27,37,25,3,3,13,19,-7
571,CHI,CHI @ IND,02/04/2022,W,240,122,49,90,54.4,6,26,23.1,18,23,78.3,10,33,43,30,5,6,9,17,7
572,CLE,CLE @ CHA,02/04/2022,W,240,102,36,90,40.0,14,35,40.0,16,20,80.0,15,36,51,26,7,0,12,17,1
573,CHA,CHA vs. CLE,02/04/2022,L,240,101,38,92,41.3,14,43,32.6,11,12,91.7,15,37,52,27,9,2,14,22,-1
574,DET,DET vs. BOS,02/04/2022,L,240,93,34,104,32.7,10,26,38.5,15,20,75.0,20,36,56,18,5,4,11,24,-9
575,BOS,BOS @ DET,02/04/2022,W,240,102,37,82,45.1,9,28,32.1,19,25,76.0,11,44,55,23,4,9,14,17,9
576,POR,POR vs. OKC,02/04/2022,L,240,93,40,101,39.6,6,33,18.2,7,10,70.0,17,36,53,18,7,4,12,18,-3
577,OKC,OKC @ POR,02/04/2022,W,240,96,33,87,37.9,15,42,35.7,15,21,71.4,13,39,52,24,5,6,15,18,3
578,LAC,LAC vs. LAL,02/03/2022,W,240,111,46,89,51.7,13,30,43.3,6,11,54.5,7,36,43,29,5,6,10,22,1
579,LAL,LAL @ LAC,02/03/2022,L,240,110,41,88,46.6,11,29,37.9,17,25,68.0,11,33,44,19,6,6,11,13,-1
580,GSW,GSW vs. SAC,02/03/2022,W,240,126,47,84,56.0,20,42,47.6,12,16,75.0,9,31,40,27,11,3,16,19,12
581,SAC,SAC @ GSW,02/03/2022,L,240,114,42,80,52.5,11,31,35.5,19,23,82.6,5,20,25,29,13,3,16,16,-12
582,TOR,TOR vs. CHI,02/03/2022,W,265,127,48,113,42.5,14,36,38.9,17,19,89.5,22,36,58,30,10,5,12,17,7
583,CHI,CHI @ TOR,02/03/2022,L,265,120,43,90,47.8,12,29,41.4,22,24,91.7,10,41,51,30,8,7,17,19,-7
584,PHX,PHX @ ATL,02/03/2022,L,240,115,46,88,52.3,9,32,28.1,14,18,77.8,6,33,39,30,11,2,11,20,-9
585,ATL,ATL vs. PHX,02/03/2022,W,240,124,44,84,52.4,20,40,50.0,16,22,72.7,6,35,41,25,6,1,15,21,9
586,MIN,MIN @ DET,02/03/2022,W,240,128,44,87,50.6,15,34,44.1,25,28,89.3,9,33,42,29,11,3,14,18,11
587,DET,DET vs. MIN,02/03/2022,L,240,117,40,91,44.0,15,46,32.6,22,28,78.6,13,32,45,27,3,6,16,24,-11
588,SAS,SAS vs. MIA,02/03/2022,L,240,95,30,80,37.5,8,33,24.2,27,38,71.1,12,31,43,21,9,5,17,19,-17
589,MIA,MIA @ SAS,02/03/2022,W,240,112,42,83,50.6,12,30,40.0,16,18,88.9,7,35,42,27,13,3,14,27,17
590,MEM,MEM @ NYK,02/02/2022,W,240,120,44,102,43.1,16,39,41.0,16,23,69.6,15,36,51,30,11,5,11,18,12
591,NYK,NYK vs. MEM,02/02/2022,L,240,108,38,88,43.2,12,36,33.3,20,26,76.9,13,35,48,23,5,10,15,19,-12
592,BOS,BOS vs. CHA,02/02/2022,W,240,113,42,82,51.2,14,36,38.9,15,17,88.2,6,36,42,31,9,5,19,21,6
593,CHA,CHA @ BOS,02/02/2022,L,240,107,37,87,42.5,12,40,30.0,21,27,77.8,14,32,46,18,12,4,16,20,-6
594,IND,IND vs. ORL,02/02/2022,L,240,118,44,98,44.9,14,32,43.8,16,23,69.6,7,39,46,25,7,1,8,19,-1
595,ORL,ORL @ IND,02/02/2022,W,240,119,42,95,44.2,11,35,31.4,24,26,92.3,9,43,52,29,5,3,12,21,1
596,WAS,WAS @ PHI,02/02/2022,W,240,106,41,90,45.6,9,22,40.9,15,19,78.9,15,37,52,25,1,5,10,14,3
597,PHI,PHI vs. WAS,02/02/2022,L,240,103,41,91,45.1,11,27,40.7,10,13,76.9,10,31,41,23,2,4,4,20,-3
598,POR,POR @ LAL,02/02/2022,L,240,94,35,98,35.7,14,42,33.3,10,19,52.6,18,37,55,23,11,3,13,28,-5
599,LAL,LAL vs. POR,02/02/2022,W,240,99,33,78,42.3,11,30,36.7,22,33,66.7,12,41,53,25,8,7,17,18,5
600,UTA,UTA vs. DEN,02/02/2022,W,240,108,42,86,48.8,7,29,24.1,17,22,77.3,8,29,37,21,8,4,8,12,4
601,DEN,DEN @ UTA,02/02/2022,L,240,104,42,79,53.2,11,28,39.3,9,12,75.0,7,32,39,24,5,7,14,20,-4
602,BKN,BKN @ SAC,02/02/2022,L,240,101,41,84,48.8,8,25,32.0,11,14,78.6,10,30,40,22,7,12,13,16,-11
603,SAC,SAC vs. BKN,02/02/2022,W,240,112,41,93,44.1,14,42,33.3,16,18,88.9,15,33,48,23,8,7,14,15,11
604,DAL,DAL vs. OKC,02/02/2022,L,265,114,46,98,46.9,14,43,32.6,8,10,80.0,13,26,39,28,12,8,14,21,-6
605,OKC,OKC @ DAL,02/02/2022,W,265,120,41,86,47.7,17,37,45.9,21,25,84.0,14,36,50,25,6,8,20,16,6
606,CLE,CLE @ HOU,02/02/2022,L,240,104,41,80,51.3,7,21,33.3,15,27,55.6,12,36,48,23,6,4,19,27,-11
607,HOU,HOU vs. CLE,02/02/2022,W,240,115,39,82,47.6,14,40,35.0,23,33,69.7,8,29,37,25,11,3,12,23,11
608,PHX,PHX vs. BKN,02/01/2022,W,240,121,42,76,55.3,11,31,35.5,26,31,83.9,7,30,37,26,8,4,16,19,10
609,BKN,BKN @ PHX,02/01/2022,L,240,111,40,81,49.4,16,40,40.0,15,21,71.4,6,27,33,25,7,1,12,27,-10
610,SAS,SAS vs. GSW,02/01/2022,L,240,120,46,83,55.4,16,33,48.5,12,17,70.6,5,29,34,33,7,7,14,17,-4
611,GSW,GSW @ SAS,02/01/2022,W,240,124,43,96,44.8,20,46,43.5,18,18,100,15,31,46,30,10,3,16,17,4
612,CHI,CHI vs. ORL,02/01/2022,W,240,126,46,90,51.1,11,30,36.7,23,29,79.3,11,38,49,25,5,6,10,15,11
613,ORL,ORL @ CHI,02/01/2022,L,240,115,46,93,49.5,14,39,35.9,9,11,81.8,3,33,36,33,7,4,9,18,-11
614,MIN,MIN vs. DEN,02/01/2022,W,240,130,46,93,49.5,19,45,42.2,19,25,76.0,13,39,52,35,8,9,10,21,15
615,DEN,DEN @ MIN,02/01/2022,L,240,115,38,89,42.7,14,44,31.8,25,28,89.3,10,36,46,27,7,4,12,17,-15
616,MIA,MIA @ TOR,02/01/2022,L,240,106,38,78,48.7,8,30,26.7,22,25,88.0,10,28,38,26,8,1,17,25,-4
617,TOR,TOR vs. MIA,02/01/2022,W,240,110,39,81,48.1,12,26,46.2,20,29,69.0,15,28,43,20,9,3,15,24,4
618,WAS,WAS @ MIL,02/01/2022,L,240,98,36,82,43.9,12,35,34.3,14,20,70.0,7,33,40,22,4,5,12,16,-14
619,MIL,MIL vs. WAS,02/01/2022,W,240,112,46,92,50.0,12,38,31.6,8,9,88.9,8,36,44,26,7,2,9,17,14
620,DET,DET vs. NOP,02/01/2022,L,240,101,41,84,48.8,8,32,25.0,11,14,78.6,6,29,35,21,7,3,19,25,-10
621,NOP,NOP @ DET,02/01/2022,W,240,111,39,89,43.8,8,28,28.6,25,28,89.3,16,30,46,24,8,5,17,17,10
622,GSW,GSW @ HOU,01/31/2022,W,240,122,43,80,53.8,17,40,42.5,19,23,82.6,7,34,41,23,10,8,15,24,14
623,HOU,HOU vs. GSW,01/31/2022,L,240,108,36,84,42.9,16,43,37.2,20,29,69.0,9,28,37,25,4,3,17,19,-14
624,OKC,OKC vs. POR,01/31/2022,W,240,98,35,86,40.7,12,41,29.3,16,17,94.1,11,39,50,22,6,3,13,13,17
625,POR,POR @ OKC,01/31/2022,L,240,81,34,81,42.0,7,38,18.4,6,8,75.0,6,35,41,18,7,6,15,20,-17
626,NYK,NYK vs. SAC,01/31/2022,W,240,116,40,80,50.0,13,35,37.1,23,29,79.3,8,39,47,25,12,5,17,20,20
627,SAC,SAC @ NYK,01/31/2022,L,240,96,37,86,43.0,11,38,28.9,11,22,50.0,9,27,36,24,6,5,16,23,-20
628,TOR,TOR @ ATL,01/31/2022,W,240,106,38,89,42.7,18,36,50.0,12,17,70.6,6,37,43,21,7,8,8,15,6
629,ATL,ATL vs. TOR,01/31/2022,L,240,100,37,81,45.7,12,32,37.5,14,16,87.5,5,41,46,28,6,5,15,20,-6
630,BOS,BOS vs. MIA,01/31/2022,W,240,122,44,84,52.4,16,42,38.1,18,27,66.7,9,35,44,24,9,6,10,15,30
631,MIA,MIA @ BOS,01/31/2022,L,240,92,34,87,39.1,17,44,38.6,7,10,70.0,10,28,38,25,6,2,19,22,-30
632,MEM,MEM @ PHI,01/31/2022,L,265,119,47,102,46.1,6,30,20.0,19,28,67.9,15,33,48,18,14,6,14,15,-3
633,PHI,PHI vs. MEM,01/31/2022,W,265,122,49,100,49.0,11,31,35.5,13,15,86.7,14,35,49,30,8,12,21,23,3
634,CLE,CLE vs. NOP,01/31/2022,W,240,93,36,84,42.9,9,31,29.0,12,14,85.7,7,30,37,26,6,9,10,19,3
635,NOP,NOP @ CLE,01/31/2022,L,240,90,33,85,38.8,6,30,20.0,18,21,85.7,16,35,51,26,6,8,13,18,-3
636,IND,IND vs. LAC,01/31/2022,W,240,122,50,95,52.6,14,29,48.3,8,12,66.7,11,39,50,31,3,5,12,12,6
637,LAC,LAC @ IND,01/31/2022,L,240,116,45,96,46.9,15,44,34.1,11,13,84.6,10,31,41,25,7,5,10,15,-6
638,CHA,CHA vs. LAC,01/30/2022,L,240,90,32,98,32.7,8,34,23.5,18,27,66.7,11,33,44,24,8,2,9,15,-25
639,LAC,LAC @ CHA,01/30/2022,W,240,115,44,84,52.4,11,28,39.3,16,19,84.2,6,54,60,23,5,6,18,23,25
640,DEN,DEN @ MIL,01/30/2022,W,240,136,53,88,60.2,23,43,53.5,7,10,70.0,6,35,41,39,8,3,10,15,36
641,MIL,MIL vs. DEN,01/30/2022,L,240,100,37,78,47.4,10,30,33.3,16,22,72.7,6,26,32,23,6,3,15,10,-36
642,POR,POR @ CHI,01/30/2022,L,240,116,43,83,51.8,18,39,46.2,12,16,75.0,5,31,36,23,4,3,12,12,-14
643,CHI,CHI vs. POR,01/30/2022,W,240,130,50,90,55.6,13,32,40.6,17,18,94.4,8,36,44,36,10,3,7,16,14
644,LAL,LAL @ ATL,01/30/2022,L,240,121,47,87,54.0,15,35,42.9,12,23,52.2,6,32,38,29,5,2,13,24,-8
645,ATL,ATL vs. LAL,01/30/2022,W,240,129,49,84,58.3,10,31,32.3,21,32,65.6,8,37,45,31,7,0,12,21,8
646,PHX,PHX vs. SAS,01/30/2022,W,240,115,48,97,49.5,11,32,34.4,8,12,66.7,11,35,46,31,6,5,8,12,5
647,SAS,SAS @ PHX,01/30/2022,L,240,110,45,100,45.0,13,37,35.1,7,8,87.5,11,32,43,27,6,3,11,15,-5
648,MIN,MIN vs. UTA,01/30/2022,W,240,126,49,89,55.1,13,31,41.9,15,18,83.3,10,30,40,35,11,2,16,15,20
649,UTA,UTA @ MIN,01/30/2022,L,240,106,38,81,46.9,15,40,37.5,15,21,71.4,9,29,38,23,8,4,20,24,-20
650,DAL,DAL @ ORL,01/30/2022,L,240,108,39,81,48.1,16,38,42.1,14,18,77.8,7,33,40,22,9,4,18,19,-2
651,ORL,ORL vs. DAL,01/30/2022,W,240,110,43,84,51.2,11,34,32.4,13,16,81.3,9,31,40,26,8,1,16,16,2
652,DET,DET vs. CLE,01/30/2022,W,240,115,42,91,46.2,10,26,38.5,21,25,84.0,16,32,48,26,7,4,9,21,10
653,CLE,CLE @ DET,01/30/2022,L,240,105,38,82,46.3,13,34,38.2,16,25,64.0,12,29,41,25,6,6,13,20,-10
654,TOR,TOR @ MIA,01/29/2022,W,315,124,47,107,43.9,16,45,35.6,14,18,77.8,12,41,53,24,15,9,17,22,4
655,MIA,MIA vs. TOR,01/29/2022,L,315,120,45,110,40.9,16,50,32.0,14,20,70.0,19,42,61,26,12,6,24,26,-4
656,MEM,MEM vs. WAS,01/29/2022,W,240,115,46,100,46.0,13,31,41.9,10,12,83.3,21,39,60,24,8,10,9,21,20
657,WAS,WAS @ MEM,01/29/2022,L,240,95,35,84,41.7,10,29,34.5,15,21,71.4,7,30,37,27,6,5,12,12,-20
658,SAC,SAC @ PHI,01/29/2022,L,240,101,36,82,43.9,12,35,34.3,17,20,85.0,10,33,43,24,9,2,13,21,-2
659,PHI,PHI vs. SAC,01/29/2022,W,240,103,36,70,51.4,12,30,40.0,19,26,73.1,3,33,36,24,8,3,18,17,2
660,DAL,DAL vs. IND,01/29/2022,W,240,132,51,96,53.1,16,34,47.1,14,22,63.6,11,35,46,31,8,7,5,19,27
661,IND,IND @ DAL,01/29/2022,L,240,105,40,91,44.0,9,33,27.3,16,23,69.6,10,37,47,25,1,7,11,21,-27
662,NOP,NOP vs. BOS,01/29/2022,L,240,97,36,82,43.9,8,32,25.0,17,23,73.9,9,31,40,22,8,0,15,14,-10
663,BOS,BOS @ NOP,01/29/2022,W,240,107,43,81,53.1,14,41,34.1,7,11,63.6,6,37,43,31,6,7,15,19,10
664,BKN,BKN @ GSW,01/29/2022,L,240,106,39,98,39.8,11,28,39.3,17,21,81.0,18,34,52,21,7,10,11,15,-4
665,GSW,GSW vs. BKN,01/29/2022,W,240,110,40,98,40.8,14,45,31.1,16,18,88.9,16,39,55,24,8,8,12,23,4
666,NYK,NYK @ MIL,01/28/2022,L,240,108,39,84,46.4,14,40,35.0,16,28,57.1,11,34,45,21,6,4,14,23,-15
667,MIL,MIL vs. NYK,01/28/2022,W,240,123,41,89,46.1,14,43,32.6,27,31,87.1,11,36,47,27,11,1,13,24,15
668,PHX,PHX vs. MIN,01/28/2022,W,240,134,43,84,51.2,20,39,51.3,28,37,75.7,10,39,49,36,4,2,12,22,10
669,MIN,MIN @ PHX,01/28/2022,L,240,124,44,90,48.9,14,39,35.9,22,27,81.5,8,30,38,20,7,6,7,26,-10
670,SAS,SAS vs. CHI,01/28/2022,W,240,131,50,95,52.6,16,37,43.2,15,18,83.3,10,34,44,35,3,1,7,18,9
671,CHI,CHI @ SAS,01/28/2022,L,240,122,46,88,52.3,8,30,26.7,22,26,84.6,4,33,37,22,5,2,6,16,-9
672,IND,IND @ OKC,01/28/2022,W,265,113,41,95,43.2,13,39,33.3,18,29,62.1,19,41,60,25,7,6,21,20,3
673,OKC,OKC vs. IND,01/28/2022,L,265,110,43,95,45.3,14,43,32.6,10,17,58.8,10,33,43,22,12,6,14,27,-3
674,LAC,LAC @ MIA,01/28/2022,L,240,114,41,92,44.6,9,35,25.7,23,32,71.9,9,28,37,22,7,3,13,21,-7
675,MIA,MIA vs. LAC,01/28/2022,W,240,121,40,85,47.1,15,34,44.1,26,27,96.3,12,39,51,28,6,3,18,23,7
676,UTA,UTA @ MEM,01/28/2022,L,240,109,37,85,43.5,17,46,37.0,18,21,85.7,11,26,37,20,10,3,18,16,-10
677,MEM,MEM vs. UTA,01/28/2022,W,240,119,46,82,56.1,9,23,39.1,18,24,75.0,8,34,42,27,9,7,15,19,10
678,HOU,HOU vs. POR,01/28/2022,L,240,110,38,79,48.1,10,41,24.4,24,31,77.4,5,33,38,25,6,3,19,22,-15
679,POR,POR @ HOU,01/28/2022,W,240,125,46,81,56.8,17,39,43.6,16,20,80.0,4,30,34,20,10,4,15,24,15
680,NOP,NOP vs. DEN,01/28/2022,L,240,105,35,90,38.9,5,34,14.7,30,33,90.9,14,29,43,23,14,4,13,19,-11
681,DEN,DEN @ NOP,01/28/2022,W,240,116,41,82,50.0,12,33,36.4,22,25,88.0,9,34,43,29,9,4,21,22,11
682,CHA,CHA vs. LAL,01/28/2022,W,240,117,43,83,51.8,11,36,30.6,20,28,71.4,11,39,50,25,4,5,12,24,3
683,LAL,LAL @ CHA,01/28/2022,L,240,114,38,91,41.8,15,40,37.5,23,32,71.9,12,32,44,19,7,3,7,23,-3
684,BOS,BOS @ ATL,01/28/2022,L,240,92,30,86,34.9,7,36,19.4,25,27,92.6,16,36,52,15,5,8,18,25,-16
685,ATL,ATL vs. BOS,01/28/2022,W,240,108,41,89,46.1,12,31,38.7,14,20,70.0,9,34,43,19,10,11,12,21,16
686,ORL,ORL vs. DET,01/28/2022,W,240,119,41,83,49.4,12,25,48.0,25,26,96.2,8,39,47,28,5,7,17,22,16
687,DET,DET @ ORL,01/28/2022,L,240,103,32,87,36.8,10,29,34.5,29,37,78.4,14,27,41,23,10,9,10,24,-16
688,PHI,PHI vs. LAL,01/27/2022,W,240,105,41,82,50.0,13,35,37.1,10,17,58.8,3,38,41,30,8,5,15,14,18
689,LAL,LAL @ PHI,01/27/2022,L,240,87,36,88,40.9,6,29,20.7,9,9,100,9,33,42,19,7,9,19,16,-18
690,GSW,GSW vs. MIN,01/27/2022,W,240,124,44,82,53.7,21,36,58.3,15,21,71.4,10,37,47,31,8,3,19,23,9
691,MIN,MIN @ GSW,01/27/2022,L,240,115,42,95,44.2,10,44,22.7,21,27,77.8,10,31,41,22,10,4,9,15,-9
692,ORL,ORL vs. LAC,01/26/2022,L,240,102,38,84,45.2,9,35,25.7,17,22,77.3,8,31,39,29,9,3,13,23,-9
693,LAC,LAC @ ORL,01/26/2022,W,240,111,36,81,44.4,15,29,51.7,24,27,88.9,8,41,49,20,7,1,15,22,9
694,MEM,MEM @ SAS,01/26/2022,W,240,118,46,90,51.1,7,23,30.4,19,26,73.1,12,32,44,24,9,9,13,18,8
695,SAS,SAS vs. MEM,01/26/2022,L,240,110,43,94,45.7,9,37,24.3,15,19,78.9,13,26,39,30,9,7,13,19,-8
696,TOR,TOR @ CHI,01/26/2022,L,240,105,38,79,48.1,12,31,38.7,17,28,60.7,8,26,34,24,8,5,12,17,-6
697,CHI,CHI vs. TOR,01/26/2022,W,240,111,46,84,54.8,7,26,26.9,12,16,75.0,10,35,45,32,2,1,15,22,6
698,DEN,DEN @ BKN,01/26/2022,W,240,124,42,89,47.2,15,36,41.7,25,27,92.6,12,36,48,27,8,2,13,21,6
699,BKN,BKN vs. DEN,01/26/2022,L,240,118,43,88,48.9,12,29,41.4,20,26,76.9,6,32,38,26,6,3,12,25,-6
700,MIA,MIA vs. NYK,01/26/2022,W,240,110,37,74,50.0,16,37,43.2,20,22,90.9,7,31,38,30,8,3,20,23,14
701,NYK,NYK @ MIA,01/26/2022,L,240,96,35,83,42.2,15,44,34.1,11,17,64.7,15,29,44,24,8,4,18,23,-14
702,ATL,ATL vs. SAC,01/26/2022,W,240,121,48,90,53.3,12,36,33.3,13,17,76.5,6,42,48,29,9,2,9,18,17
703,SAC,SAC @ ATL,01/26/2022,L,240,104,39,93,41.9,12,40,30.0,14,19,73.7,10,32,42,23,6,3,12,20,-17
704,CHA,CHA @ IND,01/26/2022,W,240,158,54,93,58.1,24,45,53.3,26,33,78.8,8,28,36,37,9,5,13,29,32
705,IND,IND vs. CHA,01/26/2022,L,240,126,44,92,47.8,10,34,29.4,28,34,82.4,17,24,41,33,9,3,20,31,-32
706,MIL,MIL @ CLE,01/26/2022,L,240,99,37,80,46.3,9,32,28.1,16,18,88.9,10,31,41,22,7,3,19,19,-16
707,CLE,CLE vs. MIL,01/26/2022,W,240,115,41,87,47.1,19,42,45.2,14,17,82.4,12,29,41,27,11,3,13,19,16
708,UTA,UTA vs. PHX,01/26/2022,L,240,97,34,79,43.0,12,30,40.0,17,23,73.9,8,31,39,20,6,4,16,28,-8
709,PHX,PHX @ UTA,01/26/2022,W,240,105,40,82,48.8,7,18,38.9,18,27,66.7,9,35,44,14,6,7,9,20,8
710,DAL,DAL @ POR,01/26/2022,W,240,132,48,88,54.5,16,36,44.4,20,26,76.9,6,39,45,35,6,6,9,21,20
711,POR,POR vs. DAL,01/26/2022,L,240,112,42,82,51.2,14,38,36.8,14,23,60.9,3,35,38,27,4,1,9,21,-20
712,POR,POR vs. MIN,01/25/2022,L,240,107,37,94,39.4,16,41,39.0,17,20,85.0,15,35,50,26,4,2,14,24,-2
713,MIN,MIN @ POR,01/25/2022,W,240,109,36,82,43.9,14,43,32.6,23,31,74.2,11,38,49,21,8,10,17,19,2
714,SAS,SAS @ HOU,01/25/2022,W,240,134,58,101,57.4,12,32,37.5,6,6,100,11,38,49,38,8,5,13,22,30
715,HOU,HOU vs. SAS,01/25/2022,L,240,104,39,95,41.1,9,34,26.5,17,25,68.0,18,27,45,21,8,3,17,12,-30
716,BKN,BKN vs. LAL,01/25/2022,L,240,96,37,88,42.0,7,27,25.9,15,22,68.2,18,36,54,20,5,2,19,12,-10
717,LAL,LAL @ BKN,01/25/2022,W,240,106,42,89,47.2,12,38,31.6,10,10,100,5,28,33,23,12,9,10,19,10
718,WAS,WAS vs. LAC,01/25/2022,L,240,115,37,80,46.3,9,27,33.3,32,40,80.0,10,42,52,25,4,7,19,24,-1
719,LAC,LAC @ WAS,01/25/2022,W,240,116,39,94,41.5,11,29,37.9,27,31,87.1,12,36,48,28,9,5,12,29,1
720,BOS,BOS vs. SAC,01/25/2022,W,240,128,51,103,49.5,20,45,44.4,6,7,85.7,17,50,67,32,6,6,11,12,53
721,SAC,SAC @ BOS,01/25/2022,L,240,75,29,95,30.5,6,33,18.2,11,15,73.3,15,30,45,15,7,8,12,14,-53
722,CHA,CHA @ TOR,01/25/2022,L,240,113,40,82,48.8,10,31,32.3,23,32,71.9,9,28,37,25,7,2,12,20,-12
723,TOR,TOR vs. CHA,01/25/2022,W,240,125,43,82,52.4,16,34,47.1,23,29,79.3,7,35,42,27,6,7,17,22,12
724,DET,DET vs. DEN,01/25/2022,L,240,105,41,97,42.3,12,36,33.3,11,14,78.6,9,27,36,25,14,5,9,25,-5
725,DEN,DEN @ DET,01/25/2022,W,240,110,36,84,42.9,11,32,34.4,27,31,87.1,16,40,56,25,7,1,25,17,5
726,PHI,PHI vs. NOP,01/25/2022,W,240,117,39,84,46.4,10,31,32.3,29,31,93.5,14,30,44,26,4,8,11,22,10
727,NOP,NOP @ PHI,01/25/2022,L,240,107,40,83,48.2,9,22,40.9,18,26,69.2,11,28,39,26,5,7,8,25,-10
728,DAL,DAL @ GSW,01/25/2022,L,240,92,32,91,35.2,10,40,25.0,18,18,100,10,29,39,17,9,4,11,17,-38
729,GSW,GSW vs. DAL,01/25/2022,W,240,130,49,92,53.3,17,43,39.5,15,18,83.3,12,46,58,31,8,2,14,17,38
730,NYK,NYK @ CLE,01/24/2022,L,240,93,35,84,41.7,12,38,31.6,11,21,52.4,11,34,45,21,11,1,12,19,-2
731,CLE,CLE vs. NYK,01/24/2022,W,240,95,35,81,43.2,13,36,36.1,12,20,60.0,12,39,51,29,7,1,20,18,2
732,IND,IND @ NOP,01/24/2022,L,240,113,38,87,43.7,19,46,41.3,18,25,72.0,10,31,41,26,5,7,17,28,-4
733,NOP,NOP vs. IND,01/24/2022,W,240,117,41,88,46.6,6,30,20.0,29,31,93.5,12,33,45,23,7,4,12,22,4
734,PHX,PHX vs. UTA,01/24/2022,W,240,115,47,99,47.5,13,36,36.1,8,15,53.3,18,33,51,28,10,5,14,17,6
735,UTA,UTA @ PHX,01/24/2022,L,240,109,40,81,49.4,14,31,45.2,15,22,68.2,7,31,38,16,11,3,14,15,-6
736,OKC,OKC vs. CHI,01/24/2022,L,240,110,38,92,41.3,16,45,35.6,18,24,75.0,10,34,44,26,9,5,11,15,-1
737,CHI,CHI @ OKC,01/24/2022,W,240,111,41,89,46.1,15,39,38.5,14,19,73.7,10,41,51,31,7,9,19,23,1
738,GSW,GSW vs. UTA,01/23/2022,W,240,94,36,83,43.4,13,42,31.0,9,10,90.0,10,30,40,19,8,5,10,19,2
739,UTA,UTA @ GSW,01/23/2022,L,240,92,31,81,38.3,11,35,31.4,19,23,82.6,17,34,51,17,7,2,12,13,-2
740,DEN,DEN vs. DET,01/23/2022,W,240,117,44,85,51.8,12,35,34.3,17,23,73.9,8,26,34,29,8,1,13,22,6
741,DET,DET @ DEN,01/23/2022,L,240,111,42,75,56.0,11,29,37.9,16,19,84.2,4,30,34,28,4,5,22,29,-6
742,BKN,BKN @ MIN,01/23/2022,L,240,125,48,95,50.5,15,38,39.5,14,15,93.3,16,32,48,27,4,1,19,29,-11
743,MIN,MIN vs. BKN,01/23/2022,W,240,136,48,92,52.2,14,32,43.8,26,31,83.9,10,27,37,24,11,7,9,17,11
744,MEM,MEM @ DAL,01/23/2022,L,240,91,37,99,37.4,4,24,16.7,13,19,68.4,21,29,50,20,10,3,15,25,-13
745,DAL,DAL vs. MEM,01/23/2022,W,240,104,36,74,48.6,9,30,30.0,23,31,74.2,9,33,42,22,10,12,18,23,13
746,CHA,CHA vs. ATL,01/23/2022,L,240,91,34,87,39.1,4,36,11.1,19,27,70.4,11,43,54,23,6,6,16,24,-22
747,ATL,ATL @ CHA,01/23/2022,W,240,113,40,88,45.5,15,39,38.5,18,24,75.0,7,38,45,25,12,6,10,22,22
748,PHI,PHI @ SAS,01/23/2022,W,240,115,44,92,47.8,7,16,43.8,20,23,87.0,13,34,47,22,5,3,10,19,6
749,SAS,SAS vs. PHI,01/23/2022,L,240,109,42,89,47.2,10,30,33.3,15,22,68.2,12,31,43,30,4,5,9,15,-6
750,MIA,MIA vs. LAL,01/23/2022,W,240,113,40,81,49.4,15,33,45.5,18,20,90.0,6,33,39,31,9,3,16,31,6
751,LAL,LAL @ MIA,01/23/2022,L,240,107,36,79,45.6,11,40,27.5,24,30,80.0,7,31,38,20,7,1,18,20,-6
752,CHI,CHI @ ORL,01/23/2022,L,240,95,33,76,43.4,5,21,23.8,24,32,75.0,11,33,44,10,3,4,22,22,-19
753,ORL,ORL vs. CHI,01/23/2022,W,240,114,42,80,52.5,12,26,46.2,18,23,78.3,3,32,35,31,7,8,14,25,19
754,POR,POR @ TOR,01/23/2022,W,240,114,45,85,52.9,18,32,56.3,6,13,46.2,10,37,47,31,8,7,22,17,9
755,TOR,TOR vs. POR,01/23/2022,L,240,105,39,98,39.8,18,54,33.3,9,14,64.3,15,28,43,28,15,8,16,18,-9
756,WAS,WAS vs. BOS,01/23/2022,L,240,87,33,93,35.5,8,34,23.5,13,16,81.3,9,35,44,20,8,6,7,14,-29
