,Team,MatchUp,Date,W/L,Min,Points,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PN
274,POR,POR @ PHX,03/02/2022,L,240,90,30,78,38.5,11,31,35.5,19,25,76.0,5,30,35,22,10,2,19,23,-30
275,PHX,PHX vs. POR,03/02/2022,W,240,120,40,80,50.0,14,36,38.9,26,31,83.9,7,39,46,32,14,6,16,21,30
276,OKC,OKC @ DEN,03/02/2022,W,240,119,44,87,50.6,16,29,55.2,15,21,71.4,9,41,50,24,11,6,15,15,12
277,DEN,DEN vs. OKC,03/02/2022,L,240,107,40,90,44.4,12,46,26.1,15,17,88.2,10,37,47,25,11,2,16,19,-12
278,MIA,MIA @ MIL,03/02/2022,L,240,119,44,97,45.4,21,44,47.7,10,12,83.3,9,39,48,28,9,4,12,22,-1
279,MIL,MIL vs. MIA,03/02/2022,W,240,120,41,91,45.1,14,36,38.9,24,27,88.9,11,41,52,22,7,3,12,16,1
280,SAC,SAC @ NOP,03/02/2022,L,240,95,35,89,39.3,8,35,22.9,17,25,68.0,12,26,38,20,9,4,11,19,-30
281,NOP,NOP vs. SAC,03/02/2022,W,240,125,52,88,59.1,11,29,37.9,10,12,83.3,7,43,50,30,5,5,16,23,30
282,NYK,NYK @ PHI,03/02/2022,L,240,108,39,91,42.9,8,28,28.6,22,32,68.8,10,30,40,20,9,3,10,25,-15
283,PHI,PHI vs. NYK,03/02/2022,W,240,123,39,75,52.0,17,36,47.2,28,33,84.8,5,38,43,24,2,8,14,25,15
284,DAL,DAL @ LAL,03/01/2022,W,240,109,41,82,50.0,10,35,28.6,17,27,63.0,10,35,45,24,8,7,14,19,5
285,LAL,LAL vs. DAL,03/01/2022,L,240,104,37,82,45.1,14,34,41.2,16,20,80.0,4,33,37,22,8,6,12,20,-5
286,GSW,GSW @ MIN,03/01/2022,L,240,114,41,90,45.6,13,45,28.9,19,22,86.4,8,32,40,26,11,3,17,25,-15
287,MIN,MIN vs. GSW,03/01/2022,W,240,129,47,89,52.8,16,40,40.0,19,23,82.6,6,36,42,27,10,2,16,20,15
288,LAC,LAC @ HOU,03/01/2022,W,240,113,42,96,43.8,13,31,41.9,16,17,94.1,17,38,55,24,7,8,16,19,13
289,HOU,HOU vs. LAC,03/01/2022,L,240,100,38,96,39.6,13,39,33.3,11,17,64.7,14,31,45,21,8,6,14,18,-13
290,ATL,ATL @ BOS,03/01/2022,L,240,98,36,83,43.4,7,31,22.6,19,24,79.2,5,32,37,15,8,4,10,20,-9
291,BOS,BOS vs. ATL,03/01/2022,W,240,107,39,83,47.0,11,35,31.4,18,19,94.7,11,36,47,27,4,8,14,20,9
292,BKN,BKN @ TOR,03/01/2022,L,240,108,42,84,50.0,10,25,40.0,14,19,73.7,7,30,37,21,3,5,12,21,-1
293,TOR,TOR vs. BKN,03/01/2022,W,240,109,41,90,45.6,7,23,30.4,20,23,87.0,16,32,48,27,5,2,13,19,1
294,WAS,WAS vs. DET,03/01/2022,W,240,116,41,82,50.0,13,26,50.0,21,26,80.8,12,30,42,29,6,8,15,22,3
295,DET,DET @ WAS,03/01/2022,L,240,113,43,90,47.8,8,27,29.6,19,23,82.6,14,29,43,23,9,3,12,21,-3
296,MIL,MIL vs. CHA,02/28/2022,W,240,130,40,91,44.0,18,45,40.0,32,37,86.5,17,45,62,25,4,5,13,28,24
297,CHA,CHA @ MIL,02/28/2022,L,240,106,36,93,38.7,14,39,35.9,20,32,62.5,9,31,40,22,6,1,9,27,-24
298,SAS,SAS @ MEM,02/28/2022,L,240,105,41,99,41.4,9,32,28.1,14,19,73.7,12,26,38,30,13,3,9,18,-13
299,MEM,MEM vs. SAS,02/28/2022,W,240,118,48,89,53.9,11,26,42.3,11,19,57.9,13,42,55,24,5,6,18,18,13
300,SAC,SAC @ OKC,02/28/2022,W,240,131,49,87,56.3,10,31,32.3,23,30,76.7,11,35,46,30,10,6,17,25,21
301,OKC,OKC vs. SAC,02/28/2022,L,240,110,40,86,46.5,11,35,31.4,19,27,70.4,7,31,38,28,12,5,17,26,-21
302,CHI,CHI @ MIA,02/28/2022,L,240,99,41,84,48.8,7,29,24.1,10,15,66.7,5,33,38,23,9,4,16,24,-13
303,MIA,MIA vs. CHI,02/28/2022,W,240,112,40,81,49.4,12,31,38.7,20,26,76.9,9,30,39,28,8,5,14,18,13
304,BKN,BKN vs. TOR,02/28/2022,L,240,97,33,86,38.4,12,35,34.3,19,24,79.2,14,31,45,23,4,5,23,20,-36
305,TOR,TOR @ BKN,02/28/2022,W,240,133,51,99,51.5,18,38,47.4,13,22,59.1,16,31,47,35,17,5,13,20,36
306,MIN,MIN @ CLE,02/28/2022,W,240,127,47,86,54.7,18,42,42.9,15,19,78.9,8,23,31,30,12,6,13,31,5
307,CLE,CLE vs. MIN,02/28/2022,L,240,122,39,74,52.7,15,37,40.5,29,34,85.3,10,28,38,29,5,3,22,17,-5
308,ORL,ORL vs. IND,02/28/2022,W,240,119,45,96,46.9,12,37,32.4,17,22,77.3,10,29,39,29,10,2,11,19,16
309,IND,IND @ ORL,02/28/2022,L,240,103,35,72,48.6,15,36,41.7,18,25,72.0,4,35,39,22,4,6,22,18,-16
310,BOS,BOS @ IND,02/27/2022,L,240,107,39,91,42.9,12,43,27.9,17,20,85.0,12,28,40,25,5,9,10,13,-21
311,IND,IND vs. BOS,02/27/2022,W,240,128,47,90,52.2,17,33,51.5,17,20,85.0,10,39,49,25,7,5,14,23,21
312,PHX,PHX vs. UTA,02/27/2022,L,240,114,44,86,51.2,13,28,46.4,13,16,81.3,10,26,36,24,7,5,9,19,-4
313,UTA,UTA @ PHX,02/27/2022,W,240,118,44,94,46.8,17,40,42.5,13,20,65.0,14,27,41,23,7,6,10,16,4
314,NYK,NYK vs. PHI,02/27/2022,L,240,109,38,85,44.7,11,33,33.3,22,35,62.9,12,35,47,21,6,2,18,24,-16
315,PHI,PHI @ NYK,02/27/2022,W,240,125,38,78,48.7,10,33,30.3,39,44,88.6,5,38,43,28,13,5,10,26,16
316,LAL,LAL vs. NOP,02/27/2022,L,240,95,35,84,41.7,7,34,20.6,18,20,90.0,7,31,38,15,8,7,23,18,-28
317,NOP,NOP @ LAL,02/27/2022,W,240,123,47,92,51.1,13,30,43.3,16,25,64.0,12,39,51,29,16,3,15,19,28
318,POR,POR vs. DEN,02/27/2022,L,240,92,34,91,37.4,6,36,16.7,18,26,69.2,11,31,42,22,12,3,15,25,-32
319,DEN,DEN @ POR,02/27/2022,W,240,124,44,86,51.2,12,37,32.4,24,31,77.4,8,47,55,28,9,5,15,20,32
320,HOU,HOU vs. LAC,02/27/2022,L,240,98,35,92,38.0,17,42,40.5,11,18,61.1,6,31,37,26,8,0,7,21,-1
321,LAC,LAC @ HOU,02/27/2022,W,240,99,34,77,44.2,11,34,32.4,20,28,71.4,10,49,59,18,4,12,18,22,1
322,GSW,GSW vs. DAL,02/27/2022,L,240,101,39,91,42.9,11,39,28.2,12,20,60.0,12,32,44,27,15,2,11,23,-6
323,DAL,DAL @ GSW,02/27/2022,W,240,107,39,78,50.0,13,34,38.2,16,20,80.0,6,39,45,16,5,7,18,18,6
324,DET,DET @ CHA,02/27/2022,W,265,127,50,110,45.5,14,40,35.0,13,18,72.2,22,32,54,30,10,3,15,29,1
325,CHA,CHA vs. DET,02/27/2022,L,265,126,45,89,50.6,13,31,41.9,23,34,67.6,12,34,46,25,8,8,17,19,-1
326,SAC,SAC @ DEN,02/26/2022,L,240,110,38,89,42.7,9,30,30.0,25,33,75.8,9,36,45,24,4,3,13,25,-5
327,DEN,DEN vs. SAC,02/26/2022,W,240,115,38,82,46.3,16,43,37.2,23,29,79.3,4,41,45,29,5,2,15,25,5
328,MIL,MIL vs. BKN,02/26/2022,L,240,123,41,78,52.6,16,38,42.1,25,38,65.8,4,39,43,24,4,0,15,26,-3
329,BKN,BKN @ MIL,02/26/2022,W,240,126,44,92,47.8,13,34,38.2,25,33,75.8,12,28,40,24,7,5,9,24,3
330,MEM,MEM @ CHI,02/26/2022,W,240,116,44,100,44.0,7,23,30.4,21,26,80.8,19,42,61,23,5,10,14,24,6
331,CHI,CHI vs. MEM,02/26/2022,L,240,110,39,93,41.9,9,20,45.0,23,30,76.7,6,35,41,17,9,3,10,17,-6
332,MIA,MIA vs. SAS,02/26/2022,W,240,133,47,83,56.6,12,28,42.9,27,38,71.1,4,28,32,25,8,3,12,20,4
333,SAS,SAS @ MIA,02/26/2022,L,240,129,50,90,55.6,14,31,45.2,15,19,78.9,12,34,46,33,5,1,22,31,-4
334,WAS,WAS @ CLE,02/26/2022,L,240,86,35,81,43.2,11,23,47.8,5,6,83.3,7,35,42,19,8,7,18,24,-6
335,CLE,CLE vs. WAS,02/26/2022,W,240,92,32,83,38.6,8,25,32.0,20,24,83.3,13,36,49,22,9,5,14,10,6
336,TOR,TOR @ ATL,02/26/2022,L,240,100,38,95,40.0,10,32,31.3,14,19,73.7,11,31,42,25,5,2,13,26,-27
337,ATL,ATL vs. TOR,02/26/2022,W,240,127,48,83,57.8,13,31,41.9,18,22,81.8,5,40,45,27,8,8,12,19,27
338,BOS,BOS @ DET,02/26/2022,W,240,113,42,88,47.7,10,26,38.5,19,21,90.5,10,27,37,31,5,6,10,21,9
339,DET,DET vs. BOS,02/26/2022,L,240,104,39,87,44.8,7,27,25.9,19,22,86.4,10,31,41,18,4,4,14,22,-9
340,OKC,OKC @ IND,02/25/2022,W,265,129,50,101,49.5,11,31,35.5,18,24,75.0,11,43,54,23,8,3,11,19,4
341,IND,IND vs. OKC,02/25/2022,L,265,125,49,101,48.5,14,37,37.8,13,22,59.1,12,39,51,31,8,11,14,19,-4
342,LAL,LAL vs. LAC,02/25/2022,L,240,102,39,93,41.9,8,31,25.8,16,21,76.2,13,34,47,18,8,7,12,17,-3
343,LAC,LAC @ LAL,02/25/2022,W,240,105,41,83,49.4,10,26,38.5,13,19,68.4,7,40,47,25,8,8,17,19,3
344,NOP,NOP @ PHX,02/25/2022,W,240,117,38,87,43.7,8,29,27.6,33,41,80.5,16,37,53,21,10,4,11,18,15
345,PHX,PHX vs. NOP,02/25/2022,L,240,102,36,82,43.9,12,40,30.0,18,24,75.0,7,30,37,23,6,8,14,27,-15
346,DAL,DAL @ UTA,02/25/2022,L,240,109,42,88,47.7,17,39,43.6,8,8,100,8,22,30,22,9,3,12,21,-5
347,UTA,UTA vs. DAL,02/25/2022,W,240,114,40,74,54.1,16,38,42.1,18,22,81.8,9,35,44,22,9,4,18,14,5
348,MIN,MIN vs. PHI,02/25/2022,L,240,102,36,86,41.9,9,39,23.1,21,25,84.0,9,32,41,23,4,1,16,27,-31
349,PHI,PHI @ MIN,02/25/2022,W,240,133,42,82,51.2,19,39,48.7,30,36,83.3,6,36,42,30,10,0,12,23,31
350,NYK,NYK vs. MIA,02/25/2022,L,240,100,30,75,40.0,14,40,35.0,26,36,72.2,5,40,45,19,4,1,18,30,-15
351,MIA,MIA @ NYK,02/25/2022,W,240,115,39,83,47.0,11,32,34.4,26,35,74.3,4,40,44,22,13,5,10,28,15
352,SAS,SAS @ WAS,02/25/2022,W,290,157,57,105,54.3,9,29,31.0,34,43,79.1,16,34,50,35,6,3,17,22,4
353,WAS,WAS vs. SAS,02/25/2022,L,290,153,59,108,54.6,16,38,42.1,19,24,79.2,11,28,39,36,10,5,16,29,-4
354,ORL,ORL vs. HOU,02/25/2022,W,240,119,42,83,50.6,13,36,36.1,22,29,75.9,10,44,54,20,7,4,19,22,8
355,HOU,HOU @ ORL,02/25/2022,L,240,111,44,94,46.8,14,47,29.8,9,20,45.0,10,31,41,22,12,3,13,24,-8
356,TOR,TOR @ CHA,02/25/2022,L,240,93,37,84,44.0,6,23,26.1,13,23,56.5,10,26,36,18,6,4,17,12,-32
357,CHA,CHA vs. TOR,02/25/2022,W,240,125,52,94,55.3,15,40,37.5,6,9,66.7,13,39,52,34,10,7,18,20,32
358,CLE,CLE @ DET,02/24/2022,L,240,103,34,77,44.2,12,35,34.3,23,34,67.6,8,35,43,20,3,7,12,21,-3
359,DET,DET vs. CLE,02/24/2022,W,240,106,35,86,40.7,11,34,32.4,25,28,89.3,13,36,49,23,8,8,11,24,3
360,GSW,GSW @ POR,02/24/2022,W,240,132,45,88,51.1,15,41,36.6,27,32,84.4,10,36,46,36,10,7,12,23,37
361,POR,POR vs. GSW,02/24/2022,L,240,95,31,79,39.2,9,35,25.7,24,29,82.8,6,25,31,16,5,4,18,29,-37
362,SAC,SAC vs. DEN,02/24/2022,L,240,110,43,86,50.0,9,29,31.0,15,18,83.3,6,28,34,25,5,8,15,17,-18
363,DEN,DEN @ SAC,02/24/2022,W,240,128,48,86,55.8,15,35,42.9,17,20,85.0,3,36,39,30,12,4,17,24,18
364,ATL,ATL @ CHI,02/24/2022,L,240,108,41,97,42.3,8,28,28.6,18,27,66.7,13,32,45,20,2,3,10,18,-4
365,CHI,CHI vs. ATL,02/24/2022,W,240,112,41,84,48.8,8,27,29.6,22,27,81.5,6,37,43,16,5,8,9,20,4
366,MEM,MEM @ MIN,02/24/2022,L,240,114,38,98,38.8,9,31,29.0,29,40,72.5,26,33,59,25,9,7,16,21,-5
367,MIN,MIN vs. MEM,02/24/2022,W,240,119,43,93,46.2,16,42,38.1,17,25,68.0,12,30,42,26,6,11,12,27,5
368,OKC,OKC vs. PHX,02/24/2022,L,240,104,44,93,47.3,6,31,19.4,10,11,90.9,7,35,42,22,10,4,16,19,-20
369,PHX,PHX @ OKC,02/24/2022,W,240,124,46,86,53.5,13,34,38.2,19,21,90.5,3,40,43,32,14,6,16,12,20
370,BOS,BOS @ BKN,02/24/2022,W,240,129,46,85,54.1,17,42,40.5,20,27,74.1,8,40,48,28,9,3,14,20,23
371,BKN,BKN vs. BOS,02/24/2022,L,240,106,39,94,41.5,7,29,24.1,21,28,75.0,8,30,38,25,8,4,11,16,-23
372,PHI,PHI @ MIL,02/17/2022,W,240,123,44,88,50.0,12,34,35.3,23,27,85.2,9,37,46,21,2,2,12,23,3
373,MIL,MIL vs. PHI,02/17/2022,L,240,120,42,95,44.2,14,44,31.8,22,28,78.6,12,32,44,20,5,1,7,22,-3
374,DAL,DAL @ NOP,02/17/2022,W,240,125,44,82,53.7,19,40,47.5,18,25,72.0,7,31,38,18,5,4,9,22,7
375,NOP,NOP vs. DAL,02/17/2022,L,240,118,46,92,50.0,12,28,42.9,14,21,66.7,17,31,48,22,7,0,13,18,-7
376,MIA,MIA @ CHA,02/17/2022,W,290,111,41,102,40.2,14,48,29.2,15,23,65.2,15,41,56,31,4,5,15,23,4
377,CHA,CHA vs. MIA,02/17/2022,L,290,107,38,95,40.0,10,42,23.8,21,30,70.0,17,41,58,27,6,4,18,28,-4
378,BKN,BKN vs. WAS,02/17/2022,L,240,103,36,89,40.4,14,38,36.8,17,24,70.8,15,27,42,19,6,5,16,20,-14
379,WAS,WAS @ BKN,02/17/2022,W,240,117,46,83,55.4,12,24,50.0,13,16,81.3,8,30,38,26,10,7,16,21,14
380,HOU,HOU @ LAC,02/17/2022,L,240,111,42,91,46.2,13,37,35.1,14,19,73.7,12,23,35,29,8,2,19,20,-31
381,LAC,LAC vs. HOU,02/17/2022,W,240,142,51,92,55.4,18,35,51.4,22,26,84.6,12,38,50,34,12,5,18,16,31
382,DEN,DEN @ GSW,02/16/2022,W,240,117,43,91,47.3,14,36,38.9,17,21,81.0,12,36,48,27,5,1,19,18,1
383,GSW,GSW vs. DEN,02/16/2022,L,240,116,45,87,51.7,10,34,29.4,16,24,66.7,8,29,37,26,13,5,11,21,-1
384,PHX,PHX vs. HOU,02/16/2022,W,240,124,44,86,51.2,7,24,29.2,29,36,80.6,7,35,42,27,10,7,11,20,3
385,HOU,HOU @ PHX,02/16/2022,L,240,121,42,97,43.3,13,44,29.5,24,28,85.7,13,36,49,23,5,5,16,27,-3
386,CHI,CHI vs. SAC,02/16/2022,W,240,125,47,94,50.0,12,29,41.4,19,20,95.0,13,34,47,25,8,2,13,16,7
387,SAC,SAC @ CHI,02/16/2022,L,240,118,43,84,51.2,12,30,40.0,20,22,90.9,7,29,36,24,9,3,13,14,-7
388,TOR,TOR @ MIN,02/16/2022,W,240,103,40,88,45.5,8,25,32.0,15,19,78.9,9,39,48,21,7,6,13,21,12
389,MIN,MIN vs. TOR,02/16/2022,L,240,91,30,77,39.0,10,42,23.8,21,29,72.4,6,36,42,23,6,7,17,18,-12
390,SAS,SAS @ OKC,02/16/2022,W,240,114,43,98,43.9,10,34,29.4,18,22,81.8,14,43,57,29,3,7,14,15,8
391,OKC,OKC vs. SAS,02/16/2022,L,240,106,41,105,39.0,11,32,34.4,13,19,68.4,15,35,50,25,6,6,8,19,-8
